Location,Income
Alameda,92574
Alpine,64688
Amador,61198
Butte,48443
Calaveras,58151
Colusa,56704
Contra Costa,93712
Del Norte,45258
El Dorado,80582
Fresno,51261
Glenn,47395
Humboldt,45528
Imperial,45834
Inyo,52874
Kern,52479
Kings,53865
Lake,42475
Lassen,56362
Los Angeles,64251
Madera,52884
Marin,110217
Mariposa,51199
Mendocino,49233
Merced,50129
Modoc,45149
Mono,63018
Monterey,66676
Napa,84753
Nevada,63240
Orange,85398
Placer,84357
Plumas,53270
Riverside,63948
Sacramento,63902
San Benito,81977
San Bernardino,60164
San Diego,74855
San Francisco,104552
San Joaquin,61145
San Luis Obispo,70699
San Mateo,113776
Santa Barbara,71657
Santa Clara,116178
Santa Cruz,78041
Shasta,50905
Sierra,48125
Siskiyou,44200
Solano,77609
Sonoma,76753
Stanislaus,57387
Sutter,56955
Tehama,42899
Trinity,38497
Tulare,47518
Tuolumne,56493
Ventura,84017
Yolo,65923
Yuba,52624
